Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Dove 2p-1,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,513,0.000945,97.51,94.75,4,678,120,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040U,41617,2016
Dove 2p-2,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,516,0.00124,97.51,94.77,4,1500,120,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040L,41609,2016
Dove 2p-3,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.75,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040V,41618,2016
Dove 2p-4,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,514,0.00109,97.51,94.76,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040N,41611,2016
Dove 2p-5,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.75,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040T,41616,2016
Dove 2p-6,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.75,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040H,41606,2016
Dove 2p-7,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.75,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040S,41615,2016
Dove 2p-8,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.76,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040Q,41613,2016
Dove 2p-9,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.77,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040M,41610,2016
Dove 2p-10,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,513,0.000945,97.51,94.76,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040P,41612,2016
Dove 2p-11,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,518,0.0016,97.51,94.77,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040K,41608,2016
Dove 2p-12,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,514,0.00109,97.51,94.75,4,1500,355,5,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040R,41614,2016
